"Samp_ID","PAR_above","PAR_in","pH","Cond","Temp","Year","PAR","TN_mean","TP_mean","mu","phyB","Prod","All_gz","All_gzp","mzp_gzp","All_Omni","All_Omni_prop","mzpDen","Dilu_R2","mu_pval","mzp_gzr","mzp_gz_pval","phySR","zpSR","zpD"
"Lake_1",1250,700,8.33,408.8,21.9,2017,0.56,20.682082532717,23.7563052779923,0.565647116994935,21013912.7,41428177.6250837,25988088.2250837,0.627304644203046,0.471861806187843,-13.783192044,0.307035981416122,10.545380724,0.644365548574842,0.000474555596331044,0.930258681489754,0.000581698769413859,18,17,14.5788424894205
"Lake_2",1200,770,8.61,257.7,20.8,2017,0.641666666666667,63.0292669094425,24.2732654569219,0.216165075639333,29829784.4,38663865.7240954,11007947.9740954,0.28470893346899,0.133674035591526,-57.9846940033333,0.187374676004624,48.8343697866667,0.755474339252726,8.78076385241676e-09,0.173261559440192,3.32326285488313e-05,29,13,56.155419843735
"Lake_3",1670,790,8.19,358.7,20.6,2017,0.473053892215569,40.8315575199915,15.8788168371599,1.1695455963272,20127873.6666667,81905022.9774103,46359060.7274103,0.566009983785687,0.258936018168338,-100.89925935,0.648539988475052,61.20522405,0.521112046596384,6.89261118076523e-06,1.05367118598718,0.00214156642930179,20,21,75.359840290267
"Lake_4",330,120,8.23,314.8,24.5,2017,0.363636363636364,28.1459891915579,15.2633880527199,0.933459490641712,10213778.3333333,31308480.8500733,6841473.5500733,0.21851822139934,0.305748259115838,-9.93687684783333,0.532571885573185,6.48379168466667,0.638204510815572,2.01005005848778e-06,0.937215710295076,0.000370906132942481,26,16,19.9883695076575
"Lake_5",510,180,8.3,256.3,26.4,2017,0.352941176470588,37.3689842036272,16.6665656812432,0.198492045301618,75805091.2333333,96192934.7301825,14611377.6301825,0.151896578175589,0.14960435705857,-6.80279682516667,0.372066438871014,4.95806663033333,0.758193023189141,3.00248410128798e-07,0.189840575609755,6.5755913743394e-05,27,11,9.55737489437042
"Lake_6",1220,780,8.58,93.9,27.6,2017,0.639344262295082,52.1386985882132,15.5341767178735,0.674013561291572,22475859.5666667,50463893.4127526,21557860.2127526,0.427193756859529,0.303572172229439,-5.2118976925,0.183415302599489,4.404115513,0.66679766191523,1.14815207955718e-06,0.681595010728045,0.00022276886149817,26,19,5.82730260782889
"Lake_8",1330,660,8.33,268.7,25.4,2017,0.496240601503759,45.2785261437953,32.8646512877047,1.12650876464104,21978222.2333333,84932989.1110994,45948947.7610994,0.54100236247419,0.196034314923338,-8.98662627766667,0.0917233936540629,8.23159632733333,0.454340604415949,1.21230948676169e-06,0.757558102653716,0.00490658865479541,24,17,13.1932725938307
"Lake_9",620,200,8.77,174.4,24.5,2017,0.32258064516129,34.7630639456675,78.3079127307565,0.274113801299064,31914975.8333333,44345530.379061,13448214.929061,0.303259760659237,0.215877992667533,-14.479381005,0.391621151618266,10.404685922,0.796485209088232,7.88958598261052e-08,0.299960248505346,1.08283357158919e-05,20,13,18.2696648249536
"Lake_10",760,280,8.21,234.8,25.2,2017,0.368421052631579,41.644336308429,22.2546590439586,0.420565544968032,36878446.1,61087417.8506946,22582757.6506945,0.369679361892324,0.218935721160589,-8.35194084283333,0.283807795934569,6.50560065866667,0.488780932113935,8.11986867967417e-06,0.36265676283416,0.00323872035031074,28,13,12.6838542379263
"Lake_11",170,140,8.58,442.8,22.8,2017,0.823529411764706,68.5028453787094,9.84761474964765,1.25925861582722,11133436.5666667,50454060.1735196,13773429.6235196,0.272989519102141,0.0692080356274529,-4.2164030325,0.166550426758362,3.614419862,0.217709569107899,3.73528990614806e-09,0.313634193101982,0.0527446072946846,26,10,13.817137616511
