Samp_ID,TSN,PHYLUM,CLASS,ORDER,FAMILY,GENUS,FFG,count,Vol,Den
Lake_1,83936,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Herbivores,1,77.35290878,0.012927762
Lake_1,125923,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Predaceous,1,77.35290878,0.012927762
Lake_1,59270,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Omnivorous,1,77.35290878,0.012927762
Lake_1,59074,Rotifera,Eurotatoria,Ploima,Trichocercidae,Trichocerca,Predaceous,2,77.35290878,0.025855524
Lake_1,58633,Rotifera,Eurotatoria,Ploima,Lecanidae,,Herbivores,1,77.35290878,0.012927762
Lake_1,125904,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Predaceous,1,77.35290878,0.012927762
Lake_1,83971,Arthropoda,Branchiopoda,Diplostraca,Leptodoridae,Leptodora,Predaceous,1,77.35290878,0.012927762
Lake_1,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,1,77.35290878,0.012927762
Lake_1,88599,Arthropoda,Maxillopoda,Poecilostomatoida,Ergasilidae,Ergasilus,Omnivorous,2,77.35290878,0.025855524
Lake_1,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,3,77.35290878,0.038783286
Lake_1,58486,Rotifera,Eurotatoria,Ploima,Brachionidae,Kellicottia,Omnivorous,3,77.35290878,0.038783286
Lake_1,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,5,77.35290878,0.06463881
Lake_1,83837,Arthropoda,Branchiopoda,Diplostraca,Sididae,Diaphanosoma,Herbivores,9,77.35290878,0.116349859
Lake_1,83874,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Herbivores,16,77.35290878,0.206844193
Lake_1,85855,Arthropoda,Maxillopoda,Calanoida,Temoridae,,Predaceous,21,77.35290878,0.271483003
Lake_1,85779,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,,Herbivores,40,77.35290878,0.517110483
Lake_1,59411,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,,Herbivores,74,77.35290878,0.956654393
Lake_1,83879,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Herbivores,130,77.35290878,1.680609069
Lake_10,83936,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Herbivores,1,48.71926931,0.020525759
Lake_10,83880,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Herbivores,1,48.71926931,0.020525759
Lake_10,83973,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,,Herbivores,1,48.71926931,0.020525759
Lake_10,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,2,48.71926931,0.041051519
Lake_10,59411,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,,Herbivores,3,48.71926931,0.061577278
Lake_10,125923,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Predaceous,7,48.71926931,0.143680316
Lake_10,58487,Rotifera,Eurotatoria,Ploima,Brachionidae,Kellicottia,Omnivorous,8,48.71926931,0.164206075
Lake_10,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,9,48.71926931,0.184731835
Lake_10,bbbbb,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Herbivores,11,48.71926931,0.225783353
Lake_10,59074,Rotifera,Eurotatoria,Ploima,Trichocercidae,Trichocerca,Predaceous,21,48.71926931,0.431040947
Lake_10,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,23,48.71926931,0.472092466
Lake_10,59270,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Omnivorous,37,48.71926931,0.759453098
Lake_10,59235,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Omnivorous,65,48.71926931,1.334174361
Lake_10,83905,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Herbivores,112,48.71926931,2.298885053
Lake_11,125923,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Predaceous,1,29.50194323,0.033896072
Lake_11,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,4,29.50194323,0.135584289
Lake_11,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,4,29.50194323,0.135584289
Lake_11,59235,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Omnivorous,1,29.50194323,0.033896072
Lake_11,58486,Rotifera,Eurotatoria,Ploima,Brachionidae,Kellicottia,Omnivorous,1,29.50194323,0.033896072
Lake_11,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,1,29.50194323,0.033896072
Lake_11,85779,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,,Herbivores,6,29.50194323,0.203376434
Lake_11,59270,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Omnivorous,3,29.50194323,0.101688217
Lake_11,83874,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Herbivores,59,29.50194323,1.999868264
Lake_11,bbbbb,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Herbivores,66,29.50194323,2.23714077
Lake_11,59411,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,,Herbivores,155,29.50194323,5.253891202
Lake_12,88599,Arthropoda,Maxillopoda,Poecilostomatoida,Ergasilidae,Ergasilus,Omnivorous,1,51.73381173,0.019329718
Lake_12,83837,Arthropoda,Branchiopoda,Diplostraca,Sididae,Diaphanosoma,Herbivores,2,51.73381173,0.038659436
Lake_12,59074,Rotifera,Eurotatoria,Ploima,Trichocercidae,Trichocerca,Predaceous,1,51.73381173,0.019329718
Lake_12,58486,Rotifera,Eurotatoria,Ploima,Brachionidae,Kellicottia,Omnivorous,2,51.73381173,0.038659436
Lake_12,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,7,51.73381173,0.135308027
Lake_12,125923,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Predaceous,9,51.73381173,0.173967463
Lake_12,59270,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Omnivorous,8,51.73381173,0.154637745
Lake_12,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,11,51.73381173,0.2126269
Lake_12,85779,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,,Herbivores,31,51.73381173,0.599221263
Lake_12,83874,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Herbivores,33,51.73381173,0.637880699
Lake_12,59411,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,,Herbivores,20,51.73381173,0.386594363
Lake_12,bbbbb,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Herbivores,106,51.73381173,2.048950125
Lake_12,59434,Rotifera,Eurotatoria,Collothecaceae,Collothecidae,Collotheca,Herbivores,67,51.73381173,1.295091117
Lake_13,59175,Rotifera,Eurotatoria,Ploima,Gastropodidae,Gastropus,Herbivores,1,17.33333333,0.057692308
Lake_13,58486,Rotifera,Eurotatoria,Ploima,Brachionidae,Kellicottia,Omnivorous,1,17.33333333,0.057692308
Lake_13,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,1,17.33333333,0.057692308
Lake_13,59255,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Predaceous,1,17.33333333,0.057692308
Lake_13,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,1,17.33333333,0.057692308
Lake_13,58352,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,4,17.33333333,0.230769231
Lake_13,125904,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Predaceous,6,17.33333333,0.346153846
Lake_13,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,6,17.33333333,0.346153846
Lake_13,85779,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,,Herbivores,8,17.33333333,0.461538462
Lake_13,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,11,17.33333333,0.634615385
Lake_13,59270,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Omnivorous,25,17.33333333,1.442307692
Lake_13,83874,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Herbivores,130,17.33333333,7.5
Lake_13,59411,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,,Herbivores,105,17.33333333,6.057692308
Lake_14,59175,Rotifera,Eurotatoria,Ploima,Gastropodidae,Gastropus,Herbivores,1,68.10888036,0.014682373
Lake_14,58578,Rotifera,Eurotatoria,Ploima,Euchlanidae,Euchlanis,Herbivores,1,68.10888036,0.014682373
Lake_14,59235,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Omnivorous,1,68.10888036,0.014682373
Lake_14,59282,Rotifera,Eurotatoria,Ploima,Synchaetidae,Ploesoma,Predaceous,1,68.10888036,0.014682373
Lake_14,88599,Arthropoda,Maxillopoda,Poecilostomatoida,Ergasilidae,Ergasilus,Omnivorous,1,68.10888036,0.014682373
Lake_14,83905,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Herbivores,1,68.10888036,0.014682373
Lake_14,58486,Rotifera,Eurotatoria,Ploima,Brachionidae,Kellicottia,Omnivorous,2,68.10888036,0.029364746
Lake_14,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,2,68.10888036,0.029364746
Lake_14,83937,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Eubosmina,Herbivores,1,68.10888036,0.014682373
Lake_14,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,3,68.10888036,0.04404712
Lake_14,59270,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Omnivorous,2,68.10888036,0.029364746
Lake_14,59322,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Pompholyx,Herbivores,3,68.10888036,0.04404712
Lake_14,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,1,68.10888036,0.014682373
Lake_14,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,3,68.10888036,0.04404712
Lake_14,59270,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Omnivorous,6,68.10888036,0.088094239
Lake_14,59270,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Omnivorous,8,68.10888036,0.117458986
Lake_14,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,6,68.10888036,0.088094239
Lake_14,88634,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,Predaceous,3,68.10888036,0.04404712
Lake_14,aaaaa,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Herbivores,8,68.10888036,0.117458986
