SITE_ID,LON_DD,LAT_DD,LAKENAME,Exp,phyDen.ind,zpDen,phySR,zpSR,Omni,SIO2_ug,DOC_ug,pH_LAB,COND,LIGHT,TEMP,NTL_ug,PTL_ug,ECO_LEV_3,NUT_REG,HUC_2,HUC_8,LAKE_ORIGIN.x,STATE,dist
NLA06608-MI:7007,-84.056809,42.398646,Sullivan Lake,3,2686.363636,260.1118531,23,20,0.2,8706,9030,8.24,349.5,5.05,20.9,828,9,56,VII,4,4090005,NATURAL,MI,29619.35736
NLA06608-1014,-83.84598941,42.581981,Lake Chemung,26,1636.019324,220.5631136,37,15,0.2,1649,7650,8.31,683.3,4.21,11.690909,568,15,56,VII,4,4080203,NATURAL,MI,35109.6466
NLA06608-1679,-84.21804073,42.275999,Tims Lake,2,1829.62963,115.5187317,30,14,0.214285714,8004,10030,8.44,316.4,5.99,18.742857,366,8,56,VII,4,4050004,NATURAL,MI,39653.83124
NLA06608-0010,-83.50588771,42.61823,Bogie Lake,14,8347.349891,298.0176432,112,30,0.466666667,3131,4940,8.74,650.1,5.92,17.876923,473,10,56,VII,4,4090005,NATURAL,MI,42441.42938
NLA06608-1167,-84.32304093,42.121218,Clark Lake,1,1652.040404,30.85266426,28,15,0.2,27837,3830,8.43,429.5,4.2,11.936667,461,5,56,VII,4,4100002,NATURAL,MI,51380.01321
NLA06608-0502,-83.7469401,42.827314,Squaw Lake,25,912,82.47974236,27,19,0.263157895,1826,7370,8.42,612.4,5.03,17.575,648,5,56,VII,4,4080203,NATURAL,MI,61256.07006
NLA06608-1034,-83.3105724,42.744961,Mill Lake,13,1066.558923,138.1620214,61,11,0.181818182,4513,8910,8.55,631.2,5.03,16.27,563,5,56,VII,4,4090003,NATURAL,MI,62727.85812
NLA06608-0875,-84.93952274,42.426005,Pine Lake,7,1254.281481,275.1108822,26,18,0.222222222,4346,8710,8.07,294.2,4.2,20.014286,720,16,56,VII,4,4050003,NATURAL,MI,100339.1324
NLA06608-0555,-85.00769013,41.720929,Little Otter,40,1394.423601,386.9506598,41,11,0.181818182,9177,5650,8.53,682.4,5.99,14.75,578,8,56,VII,4,4050001,NATURAL,IN,122024.2593
NLA06608-1835,-84.92309094,41.580283,Round Lake,39,8582.465881,535.0636238,54,15,0.333333333,2410,6310,8.08,312.7,5.98,11.515789,531,16,56,VII,4,4100003,NATURAL,IN,125188.0598
NLA06608-0811,-84.93075504,41.585036,Johnson Lake,38,1569.57127,1385.70068,41,13,0.230769231,3834,12060,8.58,379.2,5.98,15.1,1224,51,56,VII,4,4050001,NATURAL,IN,125358.126
NLA06608-1579,-85.03064639,41.688404,James Lake,37,968.9805695,186.385914,44,19,0.210526316,5926,5940,8.42,522.3,5.99,12.758333,501,7,56,VII,4,4050001,NATURAL,IN,125539.4563
NLA06608-1130,-85.20168529,42.616443,Thornapple Lake,8,4019.555556,56.65173196,25,17,0.235294118,12815,4800,8.36,555,5.15,12.691667,634,65,56,VII,4,4050007,NATURAL,MI,126133.7127
NLA06608-1131,-85.0498935,41.671582,Crooked Lake,36,14155.44349,366.5526728,78,19,0.157894737,1372,6760,8.5,444.2,5.96,21.983333,504,1,56,VII,4,4050001,NATURAL,IN,127889.7891
NLA06608-2155,-85.02364851,41.627105,Fox Lake,35,659.4556238,73.6434353,44,12,0.25,1354,7900,8.58,486.9,5.99,13.463158,644,1,56,VII,4,4050001,NATURAL,IN,128795.3961
NLA06608-0107,-85.08175821,41.650161,Cheeseboro Lake,34,1588.948693,125.6952381,51,10,0.1,1528,7050,8.23,208.6,5.96,24.82,520,3,56,VII,4,4050001,NATURAL,IN,131404.8909
NLA06608-0619,-85.4673404,42.323827,Campbell Lake,11,2248.098765,129.0306844,28,10,0.3,8289,4580,8.53,429.3,6.03,17.45,733,7,56,VII,4,4050003,NATURAL,MI,142591.8911
NLA06608-1643,-85.52570292,42.47148,Warner Lake,12,1180.753623,48.09961721,49,17,0.235294118,1919,5500,8.45,246.6,6.03,17.4,488,5,56,VII,4,4050003,NATURAL,MI,148711.6542
NLA06608-3035,-85.2868168,41.550997,Blackman Lake,30,2179.229487,325.7612613,78,16,0.3125,2148,8190,8.63,343.5,5.99,13.847059,738,7,56,VII,4,4050001,NATURAL,IN,151732.8731
