"SITEID_07","zpSR","zpDen","zpDiv.Sh","Omni","W.Omni","zpSRr","phySR","phyDiv.Sh","phyDen.Ind","phyDen.BioV","phySRr","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC_2","HUC_8","ECO3","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol","ECO_L3_NAM","NUT_REG","NUTREG_NAME","ECO_NUTA","ECO3_X_ORIGIN","STATE","DATE","ln_phyDen","ln_phySR","ln_phySRr","ln_zpDen","ln_zpSR","ln_zpSRr","ln_NTL","ln_PTL","Lat","ln_DOC","ln_Silica","ln_Temp","ln_Sol","ln_Cond","WOmni","WOmni2","Omni2"
"NLA06608-0001",2,26.8607805742835,0.59775547737748,0,0,2,19,2.06759169209067,237171.088739,111197263.40161,19,48.979029,-114.0218399,66.2930555,8.3,3.178509805,1605.73,10,10010001,41,"Region_8",96.28,630,151,6,1182,7.63,14.977778,5.691960784,"Canadian Rockies","II","Western Forested Mountains","II","WMTNS NATURAL","MT","7/31/2007",18.5268163297802,2.94443897916644,2.94443897916644,3.29066725151734,0.693147180559945,0.693147180559945,5.01727983681492,1.79175946922805,48.979029,6.44571981938558,7.07496319796604,2.70656763597878,1.73905479053416,4.56726061291487,0,0,0
"NLA06608-0002",23,1263.70142223027,3.26167381888297,0.391304347826087,0.261648745519713,17.0155086151261,48,3.09917612223973,30599427.710581,6719228308.6142,44.0526638429727,33.036064,-79.98379054,14.43799807,2.3,1.743509934,4.9,3,3050201,63,"Region_4",44.8,14020,695,36,1695,6.05,22.218,5.711437908,"Middle Atlantic Coastal Plain","XIV","Eastern Coastal Plain","CPL","PLNLOW MAN-MADE","SC","6/14/2007",22.6282391498598,3.87120101090789,3.78538582372,7.1418003302133,3.13549421592915,2.8341251996675,6.54391184556479,3.58351893845611,33.036064,9.54824016058858,7.43543801981455,3.10090277115953,1.74247081473296,3.80220813942094,0.261648745519713,0.0684600660320397,0.153119092627599
"NLA06608-0003",14,2244.13023738487,2.02366436634841,0.857142857142857,0.901734104046243,9.64167451378711,27,2.02333503765835,112788825.39694,43870654046.872,26.7608939207254,28.047742,-97.85986605,5.701736559,2.5,1.265008306,17.6,12,12110111,34,"Region_6",1089,6000,738,43,45248,8.47,29.96,5.222352941,"Western Gulf Coastal Plain","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","PLNLOW NATURAL","TX","8/29/2007",24.5045114607636,3.29583686600433,3.28694163981141,7.71607330300874,2.63905732961526,2.26609479828723,6.60394382460047,3.76120011569356,28.047742,8.69951474821019,10.7199137492562,3.39986315864902,1.65294805531588,6.99301512293296,0.901734104046243,0.81312439440008,0.73469387755102
"NLA06608-0004",19,15054.0540540541,1.92543657256439,0.684210526315789,0.16098144823459,8.92556510903988,39,2.7214551478574,48298518.029283,13424094289.2366,33.4797528333749,37.41662,-108.4045832,65.38630923,6.3,6.011153731,2213,14,14080202,21,"Region_8",303.3,8000,344,18,2763,8.25,20.242857,6.659215686,"Southern Rockies","II","Western Forested Mountains","II","WMTNS MAN-MADE","CO","7/10/2007",23.3203170105766,3.66356164612965,3.51094086307834,9.6194026062652,2.94443897916644,2.18891964320071,5.8406416573734,2.89037175789616,37.41662,8.98719682066197,7.92407232492342,3.00780199058416,1.89600171275261,5.71472241469454,0.16098144823459,0.025915026675706,0.46814404432133
"NLA06608-0005",14,3550.6105168429,2.2175694790705,0.357142857142857,0.0288018433179724,7.26349858739762,45,1.45571276399293,6293157.655073,1278470105.22408,42.0664174430886,43.929209,-114.8403862,19.48761255,6.1,1.962187216,2138,17,17060201,16,"Region_10",52.62,1450,85,4,6166,7.75,20.042857,6.420653595,"Idaho Batholith","II","Western Forested Mountains","II","WMTNS NATURAL","ID","7/18/2007",20.9689299697269,3.80666248977032,3.73924973693069,8.17487484425865,2.63905732961526,1.98286161185121,4.44265125649032,1.38629436111989,43.929209,7.27931883541462,8.7268056084461,2.99787283092552,1.85951991859475,3.96309627561215,0.0288018433179724,0.000829546178513028,0.127551020408163
"NLA06608-0006",16,96166.6666666667,2.24398056268609,0.25,0.0779896013864818,10.9074363221287,39,1.79907830465578,14251979.251732,5000490103.793,35.5952284677066,41.683146,-73.1465177,56.19974819,25.3,5.836994717,198.75,1,1100005,59,"Region_1",74.74,3160,184,7,2482,7.06,10.9148,5.731176471,"Northeastern Coastal Zone","XIV","Eastern Coastal Plain","CPL","EHIGH MAN-MADE","CT","7/17/2007",22.3328017653354,3.66356164612965,3.57221159706893,11.4738380762622,2.77258872223978,2.38944478800902,5.21493575760899,1.94591014905531,41.683146,8.05832730658096,7.81681996576455,2.39011966642588,1.74592082745288,4.31401542405734,0.0779896013864818,0.00608237792442232,0.0625
"NLA06608-0007",26,50046.0829493088,2.97522732643417,0.307692307692308,0.069060773480663,15.7364421302913,24,2.10189409651027,14050588.501121,1797268020.25103,22.0390263541336,45.580645,-92.04001797,25.4747633,19.2,3.02298601,390.86,7,7050007,51,"Region_5",26.65,6680,493,8,91,6.07,11.145,5.465816993,"North Central Hardwood Forests","VII","Mostly Glaciated Dairy Region","VII","PLNLOW NATURAL","WI","7/24/2007",21.3095335823469,3.17805383034795,3.09281480699918,10.8206995189296,3.25809653802148,2.75597917743146,6.20050917404269,2.07944154167984,45.580645,8.80687326653069,4.51085950651685,2.41099096683783,1.69851360597209,3.28278915061185,0.069060773480663,0.00476939043374744,0.0946745562130178
"NLA06608-0008",20,12464.046021093,2.50729532724369,0.45,0.38021978021978,13.8940155162494,31,1.83861717858243,7802236.57936,1467146572.1155,29.1243246230242,41.292111,-93.59040488,48.7370362,5.5,5.71138051,261.56,7,7100008,47,"Region_7",238.1,7600,801,66,3789,8.48,24.2,5.712222222,"Western Corn Belt Plains","VI","Corn Belt and Northern Great Plains","VI","PLNLOW MAN-MADE","IA","7/12/2007",21.1065852439421,3.43398720448515,3.37157372270796,9.43060346042504,2.99573227355399,2.63145820902905,6.68586094706836,4.18965474202643,41.292111,8.93590352627442,8.2398574110186,3.18635263316264,1.74260812869229,5.47269075349282,0.38021978021978,0.144567081270378,0.2025
"NLA06608-0010",30,4423.65542784608,3.27783188415078,0.466666666666667,0.287735849056604,13.7005549042322,45,3.35832093493953,8707028.032602,4394889239.7679,43.6972488750039,42.61823,-83.50588771,30.03733238,11.8,2.423467747,284.65,4,4090005,56,"Region_5",650.1,4940,473,10,3131,8.74,17.876923,5.732745098,"Southern Michigan/Northern Indiana Drift Plains","VII","Mostly Glaciated Dairy Region","VII","PLNLOW NATURAL","MI","7/17/2007",22.203708166348,3.80666248977032,3.7772851453144,8.39472165315392,3.40119738166216,2.61743633597237,6.15909538849193,2.30258509299405,42.61823,8.50512061018197,8.04910772132641,2.88351066321329,1.74619449070159,6.47712619721042,0.287735849056604,0.0827919188323247,0.217777777777778
"NLA06608-0012",24,7762.04896201977,2.2961059016118,0.583333333333333,0.0857814336075206,14.1228061034196,28,1.48067601180809,18578407.436138,5310499553.08917,27.4267574434545,35.990788,-96.87178731,177.6575126,3.5,13.50645679,255.6,11,11050003,27,"Region_6",219.5,8010,1026,159,10202,7.64,26.506,5.317124183,"Central Great Plains","V","South Central Cultivated Great Plains","V","PLNLOW MAN-MADE","OK","6/13/2007",22.3929517455698,3.3322045101752,3.31151908591141,8.95700161982184,3.17805383034795,2.6477909448572,6.93342302573071,5.06890420222023,35.990788,8.9884460400624,9.23033905848287,3.27737112245849,1.67093259008922,5.39135223251523,0.0857814336075206,0.00735845435176146,0.340277777777778
