"SITEID_12","zpSR","zpDen","zpDiv.Sh","Omni","W.Omni","zpSRr","phySR","phyDiv.Sh","phyDen.Ind","phyDen.BioV","phySRr","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol","ln_phyDen","ln_phySR","ln_phySRr","ln_zpDen","ln_zpSR","ln_zpSRr","ln_NTL","ln_PTL","Lat","ln_DOC","ln_Silica","ln_Temp","ln_Sol","ln_Cond","WOmni","WOmni2","Omni2"
"NLA12_AL-101",46,49574.1935483871,0,0.478260869565217,0.166319625195211,23.3026856323412,57,3.5113006837965,55585408.5,15787978970.8,57,"NLA06608-2187",33.29204144,-87.3913824,1301.87197,13.4,104.2086662,57.03,3,3160112,68,68,"Region_4",374.5,2335,440.5,27.5,3178,8.41,27.5884615384615,5.85928104575163,23.4825146627725,4.04305126783455,4.04305126783455,10.8112256859513,3.8286413964891,3.14856861711997,6.08791044537623,3.31418600467253,33.29204144,7.755767170103,8.06400734709666,3.31739762511091,1.76802690762379,5.92559180295727,0.166319625195211,0.0276622177250754,0.228733459357278
"NLA12_AL-102",39,24730.1587301587,0,0.307692307692308,0.111039794608472,25.5617584427978,37,1.57906040263658,320369154.8,34746178900.8,37,"NLA06608-0459",34.22781586,-86.84344912,72.95042027,17.3,11.87230532,247.04,3,3160109,68,68,"Region_4",76,3380,389,12,1783,7.37,19.2692307692308,6.04470588235294,24.271335443222,3.61091791264422,3.61091791264422,10.1157787790213,3.66356164612965,3.24109742380953,5.96357934361845,2.484906649788,34.22781586,8.12563098847706,7.48605261786314,2.95850956306338,1.79918282818547,4.33073334028633,0.111039794608472,0.0123298359866917,0.0946745562130178
"NLA12_AL-103",28,13336.6336633663,0,0.571428571428571,0.515961395694135,18.5869204636964,49,2.93573404888633,304362778.4,19234767393.5,49,"NLA06608-2955",33.7624784,-86.05315833,10363.25848,6.5,688.4591342,141.76,3,3150106,67,67,"Region_4",199.9,2830,449,56,3527,8.34,29.5730769230769,5.84653594771242,23.6799852802,3.89182029811063,3.89182029811063,9.49826993855124,3.3322045101752,2.92245813248091,6.10702288774225,4.02535169073515,33.7624784,7.94803199063728,8.16820293023605,3.38686438401665,1.76584934016608,5.29781724150635,0.515961395694135,0.26621616184664,0.326530612244898
"NLA12_AL-104",43,28565.2173913043,0,0.651162790697674,0.116184677828513,32.4597297900195,31,3.04675962831532,10241579,3697157165.1,31,"NLA06608-0283",32.51586852,-87.86108477,4731.474336,19.8,698.1088203,22.28,3,3160201,65,65,"Region_4",345,2680,344,37,2698,7.99,29.9589743589744,5.88228758169935,22.0308300275202,3.43398720448515,3.43398720448515,10.2599450815376,3.76120011569356,3.48000023765314,5.8406416573734,3.61091791264422,32.51586852,7.8935720735049,7.9002660367677,3.39982892438394,1.77194573075904,5.84354441703136,0.116184677828513,0.0134988793621155,0.424012979989183
"NLA12_AL-105",27,106351.351351351,0,0.481481481481481,0.254553155442609,19.5176481600477,24,2.19335837830697,564581031.4,90104854623.3,24,"",31.62154629,-88.35373896,32.56146308,4.8,2.998953879,50.83,3,3160203,65,65,"Region_4",31.1,6830,1464,82,1955,8.85,28.0647435897436,5.81235294117647,25.224239880501,3.17805383034795,3.17805383034795,11.5745035271894,3.29583686600433,2.9713190901221,7.28892769452126,4.40671924726425,31.62154629,8.82907995256484,7.57814547241947,3.33451411205254,1.75998547015066,3.43720781918519,0.254553155442609,0.0647973089457891,0.231824417009602
"NLA12_AL-112",19,13431.3725490196,0,0.315789473684211,0.607299270072993,12.8966380102695,30,2.26660157151332,74955608.6,14546940717.8,30,"",33.36486204,-88.16688028,5.55544262,3.8,1.293121817,78.07,3,3160106,65,65,"Region_4",52.4,3820,379,33,5049,7.73,28.3666666666667,5.93346405228758,23.4006465485112,3.40119738166216,3.40119738166216,9.50534848452004,2.94443897916644,2.55696665804155,5.93753620508243,3.49650756146648,33.36486204,8.24800570160062,8.52694548285892,3.34521474691122,1.78060819967167,3.958906591327,0.607299270072993,0.36881240343119,0.0997229916897507
"NLA12_AL-113",12,90909.0909090909,0,0.0833333333333333,0.047,8.64111372806026,14,1.74492043492023,12480775.1,415318857.1,14,"",30.97184148,-88.0527428,29.40501835,2.5,3.81355553,13.99,3,3160204,65,65,"Region_4",22.5,3410,248,27,7562,6.51,27.25,5.96705882352941,19.8445571135418,2.63905732961526,2.63905732961526,11.4176152851659,2.484906649788,2.15653147821927,5.51342874616498,3.29583686600433,30.97184148,8.13446757027756,8.93089098445088,3.30505352110925,1.7862541466327,3.11351530921037,0.047,0.002209,0.00694444444444444
"NLA12_AL-114",32,13978.2608695652,0,0.34375,0.544323483670295,17.3121464699435,31,2.97135795543756,64557403.3,4088200193.2,31,"",33.88200988,-85.9316179,18.10471487,3.5,3.585987135,171.04,3,3150106,67,67,"Region_4",175.9,3600,510,62,13866,8.8,31.3551282051282,5.90647058823529,22.1313706595881,3.43398720448515,3.43398720448515,9.54525860673066,3.46573590279973,2.85140836323038,6.23441072571837,4.12713438504509,33.88200988,8.1886891244442,9.53719507950244,3.44537783281227,1.77604845983513,5.16991565174351,0.544323483670295,0.296288054874966,0.1181640625
"NLA12_AL-R03",27,67076.9230769231,0,0.259259259259259,0.162844036697248,16.8525326892779,24,0.807398793711075,62677936,2898024621.3,24,"NLA06608-1871",33.32192301,-85.81071637,22.42053898,9.3,4.766510605,317.68,3,3150109,45,45,"Region_4",37.6,1490,126,31,12345,7.51,19.8974358974359,5.90647058823529,21.7872951767715,3.17805383034795,3.17805383034795,11.1135953454296,3.29583686600433,2.82450095347228,4.83628190695148,3.43398720448515,33.32192301,7.30653139893951,9.42100640177928,2.99059087405357,1.77604845983513,3.62700405039585,0.162844036697248,0.0265181802878546,0.0672153635116598
"NLA12_AR-101",44,17317.5074183976,0,0.5,0.166895133653187,14.4861029909387,65,2.18984185959574,235450490.7,51094956930.6,65,"NLA06608-1808",34.53435079,-92.26882632,105.7849996,2,9.08146137,74.14,11,11110207,35,35,"Region_6",45.05,11185,855.5,84,7292.5,7.33,29.86,6.19849673202614,24.6569516390823,4.17438726989564,4.17438726989564,9.75947325827245,3.78418963391826,2.67318977543575,6.75168609333225,4.43081679884331,34.53435079,9.32232887392423,8.89460170174188,3.39651979211104,1.82430680007581,3.80777298405435,0.166895133653187,0.0278539856371152,0.25
"NLA12_AR-102",17,24520.7956600362,0,0.588235294117647,0.10693215339233,12.775165520078,39,1.59683716717437,1211051780,33370695054,39,"NLA06608-0208",35.58318947,-90.96294056,95.89252695,1.3,3.883137271,69.01,8,8020302,73,73,"Region_6",118.1,5330,1536,151,16852,7.95,26.35,6.19875816993464,24.2309439582012,3.66356164612965,3.66356164612965,10.1072768389542,2.83321334405622,2.54750309256771,7.33693691370762,5.01727983681492,35.58318947,8.58110651715989,9.73222462309891,3.27146827498737,1.82434897681746,4.77153172320332,0.10693215339233,0.0114344854291209,0.346020761245675
"NLA12_AR-103",36,18728.5714285714,0,0.333333333333333,0.111365369946606,24.9323435880337,36,2.5561752132313,49359493,5565134804.9,36,"NLA06608-1204",34.41755034,-93.07012469,2428.921192,13.4,180.208525,118.4,8,8040101,36,36,"Region_6",51.4,2920,311,15,4145,7.73,27.9,6.17470588235294,22.4397870450822,3.58351893845611,3.58351893845611,9.83780552069648,3.58351893845611,3.21616589985733,5.73979291217923,2.70805020110221,34.41755034,7.97933889526233,8.3296580675694,3.32862668882732,1.82046125099149,3.93963817246112,0.111365369946606,0.0124022456233443,0.111111111111111
"NLA12_AR-104",30,29545.4545454545,0,0.433333333333333,0.139487179487179,23.0730421092087,33,2.85342689853375,10559618.9,1735935877,33,"NLA06608-1484",35.5624593,-93.63756822,44.682124,9.1,4.738604684,203.73,11,11110202,37,37,"Region_6",34.9,2030,175,30,5005,7.23,29.5,6.20679738562091,21.2748125152904,3.49650756146648,3.49650756146648,10.2936851885135,3.40119738166216,3.138664927784,5.16478597392351,3.40119738166216,35.5624593,7.61579107203583,8.51819269174932,3.38439026334577,1.82564504401503,3.55248682920838,0.139487179487179,0.0194566732412886,0.187777777777778
"NLA12_AR-105",25,246987.951807229,0,0.36,0.0409756097560976,14.5176927665174,66,2.51998265548117,82111609.2,38995247372.4,66,"",33.07556301,-92.66059625,7.29500254,2.45,1.551513244,55.37,8,8040206,35,35,"Region_6",72.65,8820,537.5,36.5,3712,7.09,31.05,6.16705882352941,24.3867056134041,4.18965474202643,4.18965474202643,12.417094836312,3.2188758248682,2.67536809639306,6.28692876000182,3.59731226058845,33.07556301,9.08477714900084,8.21932609390609,3.43559880837949,1.81922203439899,4.28565339001629,0.0409756097560976,0.001679000594884,0.1296
"NLA12_AR-106",17,104205.607476636,0,0.411764705882353,0.304932735426009,14.840580845988,28,1.80945671752804,1252428857.6,27519233553.6,28,"",36.06720319,-91.14242843,222.5927542,5.4,17.23630001,82.69,11,11010009,39,39,"Region_6",244,5020,1385,107,7745,8.81,27.85,6.24320261437908,24.0381509991005,3.3322045101752,3.3322045101752,11.5541212214085,2.83321334405622,2.69736537753849,7.23345541862144,4.67282883446191,36.06720319,8.52118521268578,8.95480275285097,3.32683296637329,1.83149329020283,5.4971682252932,0.304932735426009,0.0929839731343884,0.169550173010381
"NLA12_AR-109",21,265652.173913044,0,0.238095238095238,0.0556464811783961,12.8748410754461,37,2.34776312191233,13136289.9,1979139020.9,37,"",33.81796398,-94.05998348,4.149225261,7.8,1.003458503,107.3,11,11140109,35,35,"Region_6",248,7480,656,39,7254,8.22,32.15,6.29862745098039,21.4059277491541,3.61091791264422,3.61091791264422,12.4899431152186,3.04452243772342,2.55527510281894,6.48616078894409,3.66356164612965,33.81796398,8.91998807096852,8.88930831984285,3.47041245068363,1.84033174473773,5.51342874616498,0.0556464811783961,0.00309653086753759,0.0566893424036281
"NLA12_AR-111",19,751538.461538462,0,0.368421052631579,0.129989764585466,12.5833918499387,24,2.40021076364431,9417500,10077855587.2,24,"",34.60033557,-92.50069818,2.061803018,1.2,0.594248561,120,8,8040203,35,35,"Region_6",54.5,5260,744,121,3860,6.99,25.55,6.19849673202614,23.0336063375923,3.17805383034795,3.17805383034795,13.5298776665574,2.94443897916644,2.53237783734236,6.61204103483309,4.79579054559674,34.60033557,8.56788630573176,8.25842246245888,3.24063731664971,1.82430680007581,3.9982007016692,0.129989764585466,0.0168973388969848,0.135734072022161
"NLA12_AZ-101",28,13414.2857142857,0,0.392857142857143,0.110223642172524,17.9510283426022,53,2.50747679009696,80470335.3,9716144937.9,53,"NLA06608-0834",33.5692971,-111.5241427,373.4884097,23.85,24.14730294,459,15,15060106,81,81,"Region_9",1166,3970,338,45.5,17949.5,8.47,21.9813461538462,7.04333333333333,22.9970547654205,3.97029191355212,3.97029191355212,9.50407551614104,3.3322045101752,2.88764740257478,5.82304589548302,3.8177123259569,33.5692971,8.28652137368124,9.79531753837526,3.09019419158811,1.95208154295986,7.06133436691044,0.110223642172524,0.0121492512937766,0.154336734693878
"NLA12_AZ-102",20,45050.5050505051,0,0.35,0.190582959641256,15.0391227947637,33,2.6422400078906,29553609.9,15435759997.7,33,"NLA06608-0569",34.60431345,-112.4386225,119.179815,1.6,9.13022933,1567,15,15060202,23,23,"Region_9",554,16530,2045,631,9240,9.36,20.5423076923077,6.82503267973856,23.4599527322825,3.49650756146648,3.49650756146648,10.7155394738617,2.99573227355399,2.71065499200449,7.6231530684769,6.44730586254121,34.60431345,9.71293219081507,9.13129716463573,3.02248654932424,1.92059712929964,6.31716468674728,0.190582959641256,0.0363218645056205,0.1225
"NLA12_AZ-103",11,47450,0,0.363636363636364,0.111696522655427,7.20504945784638,8,1.00911481694771,19393657.1,3194015771.2,8,"NLA06608-1641",35.02357175,-111.4006586,81.45252873,3.6,4.683705075,2168,15,15020015,23,23,"Region_9",239,7740,1055,259,17672,8.35,20.4921428571429,6.69300653594771,21.8845448244853,2.07944154167984,2.07944154167984,10.7674318040381,2.39789527279837,1.97478209380633,6.96129604591017,5.55682806169954,35.02357175,8.95415696658377,9.77973674509995,3.0200415374143,1.90106318065287,5.47646355193151,0.111696522655427,0.0124761131733143,0.132231404958678
"NLA12_AZ-106",25,16412.1212121212,0,0.44,0.246676514032496,15.998212781176,24,2.48098133064024,277618446.8,12655643429,24,"NLA06608-0877",33.40602291,-114.7138943,55.00641968,4.8,10.5125494,69.11,15,15030104,81,81,"Region_9",1246,7650,571,37,14821,8.25,31.1974358974359,7.02679738562091,23.2613690735072,3.17805383034795,3.17805383034795,9.70577543911372,3.2188758248682,2.77247701482424,6.34738920965601,3.61091791264422,33.40602291,8.94246092682058,9.60380037295691,3.44033590866376,1.94973103809875,7.1276936993474,0.246676514032496,0.0608493025752243,0.1936
"NLA12_AZ-107",11,17179.7752808989,0,0.272727272727273,0.0202746893394375,7.98988029045675,4,0.884441362854364,968291615.5,4464175196.3,4,"NLA06608-0895",34.3606808,-109.363087,529.2331386,3.6,25.91177862,1822,15,15020001,22,22,"Region_9",477,6100,628,234,26588,8.59,22.424358974359,6.82124183006536,22.2193503077383,1.38629436111989,1.38629436111989,9.75148811517906,2.39789527279837,2.07817577724501,6.4425401664682,5.4553211153577,34.3606808,8.7160440501614,10.1882152651615,3.11014782222343,1.92004154179948,6.16751649088834,0.0202746893394375,0.000411063027810702,0.0743801652892562
